reviewContent,ground_truth_aspects
"১৫ সেকেন্ড পরে ডিসপ্লে ম্লান হয়ে যায়... সাউন্ড কোয়ালিটি তেমন ভালো না এবং যথেষ্ট জোরালোও না...
একটি একক রুমের জন্য আপনি এই মূল্যে কিনতে পারেন।
শুধু ঘড়ি হিসেবে ব্যবহার করলে ব্যাকআপ সময় ২ দিন পর্যন্তও পৌঁছায় না... কেউ ইউটিউবে রিভিউ দিয়েছেন যে এটি শুধুমাত্র ঘড়ি হিসেবে ১৪ দিন পর্যন্ত ব্যাকআপ দেয়। এটা সম্পূর্ণ ভুল।","price, product"
"#### চার্জ ব্যাকআপ খুবই খারাপ.. ####
বাকি সব কিছু এই মূল্যমানের মধ্যে নিখুঁত..
সাউন্ড কোয়ালিটি, বিল্ড কোয়ালিটি ইত্যাদি অসাধারণ","price, product"
"অসাধারণ একটা গ্যাজেট..🥰🥰
ধন্যবাদ বিক্রেতাকে..❤️
আশা করি প্রোডাক্টের মান সবসময় এভাবেই ভালো রাখবেন..😊","product, seller"
"রিভিউ দেয়ার আগে অনেকদিন ব্যবহার করে নিয়েছি যেন ক্লিয়ার ভাবে লিখা যায়।
ছোট্ট এই প্রোডাক্টের সাউন্ড কোয়ালিটি আর লাউডনেস আসলেই অবাক করার মতো। খুব ভালো বেজ এবং ক্লিয়ার অডিও। ব্লুটুথ কানেকটিভিটি বেশ ফাস্ট ও স্মুদ। এছাড়া আমি এটাকে ক্যাবল দিয়ে ডিরেক্ট ডেস্কটপে aux মুডেও ব্যবহার করে দেখেছি বেশ ভালোই পারফরম্যান্স। তবে একটাই সমস্যা এটি 24 hour ফরম্যাটে সময় দেখায় অর্থাৎ দুপুর 12টার পর থেকে 13টা, 14টা এভাবে টাইম দেখাবে। এছাড়া ব্লুটুথ স্পিকার হিসেবে নিঃসন্দেহে অর্ডার করতে পারেন। সেলারের সার্ভিসও ভালো ছিল। ভালো ভাবে প্যাকেজিং করে দিয়েছে। তবে সম্ভবত চট্টগ্রাম থেকে সেন্ড করেছে ঢাকায় তাই পেতে 1দিন লেট হয়েছে। ","product, seller, packaging, delivery"
"TF মোড ভালো, কিন্তু ব্লুটুথ ও অক্স মোড তেমন ইমপ্রেসিভ নয়...
সামগ্রিকভাবে, অনেক ফিচার সহ একটি জেনুইন প্রোডাক্ট।😇",product
"""যেমনটি দেখেছি ঠিক তেমনটাই পেয়েছি। প্রোডাক্টটি খুব ভালো এবং বিক্রেতা অনেক ভালো সেবা দিচ্ছেন। বিক্রেতা ভাইকে অনেক ধন্যবাদ, উনার ব্যবহারও অনেক ভালো। ধন্যবাদ দারাজ এবং বিক্রেতাকে।""","product, seller"
"""প্রোডাক্টটা ভালো ছিল। আশা করি সামনে আরও ভালো প্রোডাক্ট বিক্রি করবেন।""",product
সবথেকে ভালো লেগেছে সাউন্ড টা অনেক স্পষ্ট আর অনেক ভালো কিন্তু মাঝে একবার হটাৎ বন্ধ হয়ে গিয়েছিল।,product
কয়েক মাস ধরে ব্যবহার করার পর রিভিউ দিচ্ছি। এই মূল্যে এটি একটি চমৎকার ডিভাইস।,"product, price"
"আস্সালামু আলাইকুম।
ভাই আমরা যখন Daraz থেকে কোনো কিছু ক্রয় করে থাকি সেটা কিন্তু সখের বসেক্রয় করে থাকি। সেই সখের জিনিষটা যখন দেখি  আপনারা আমাদেরকে ভাঙ্গা অথবা নষ্ট দিয়েছেন তখন কিন্তু অনেক খারাপ লাগে।তখন আর মন চায় না যে অনলাইন থেকে কিছু ক্রয় করতে। এই যে আপনারা আমাকে নষ্ট স্পিকারটা দিলেন সেটা দিয়ে আমি এখন কি করবো। এতো দাম দিয়ে আপনাদের কাছ থেকে জিনিষ কিনে কি লাভ হলো আমার? আপনারা কি জবাব দিতে পারবেন?","product, price, service"
ইদের আগে দেওয়ার জন্য ধন্যবাদ। আপনাদের জন্য রইল আমার আপ্রাণ ভালোবাসা। এখন দেখি কতদিন টিকে।,delivery
"আমি এটাকে কিনেছি আর আমার কাছে এটাকে ভাল লেগেছে আপনি থকবেন না, আপনি এটাকে কিনতে পারেন।",product
ভালোই বলা যায় ১০ এর ভিতর সব কিছু মিলিয়ে আমি দিবো ৭,product
প্রোডাক্টটা খুবই ভালো দারাজ কে ধন্যবাদ 😍😍😍,product
"১০০% অক্ষত প্রোডাক্ট....
খুবই সহায়ক বিক্রেতা....
অত্যন্ত সুপারিশ করা হচ্ছে","product, seller"
ঘড়িটি সঠিকভাবে কাজ করছে না... ঘড়ির কিছু অংশ বন্ধ অবস্থায় রয়েছে।,product
সিল করা এবং মূল প্রোডাক্ট... এবং সাউন্ড কোয়ালিটিও অনেক ভালো... আমি সন্তুষ্ট।,product
প্রডাক্ট হাতে পেলাম। ধন্যবাদ এত সুন্দর প্রডাক্ট দ্রুত পৌছে দেওয়ার জন্য।,"product, delivery"
আইটেমটি ভালো এবং সাউন্ডও গ্রহণযোগ্য। তাই আমি এই বিক্রেতাকে সুপারিশ করছি 👍,"product, seller"
প্রোডাক্টটি চমৎকার মানে এবং প্রত্যাশিত অবস্থায় ডেলিভারি করা হয়েছে।,"product, delivery"
আলহামদুলিল্লাহ। যা ভেবেছিলাম তার চেয়ে ভালো সার্ভিস আর প্রোডাক্ট পেয়েছি।ফুল ইন্টেক্ট বক্স আর অসাধারণ প্যাকেজিং।সাউন্ড কোয়ালিটিও অসাধারণ।নিতে পারবেন বিনা দ্বিধায়।,"product, service, packaging"
প্রোডাক্টটি খুবই ভালো। এর মূল্যের তুলনায় এটি আরও ভালো।,"product, price"
জিনিসটা সুন্দরই।চাইলে কিনতে পারেন।,product
বিক্রেতার ব্যবহার এখন পর্যন্ত খুবই ভালো।🌸,seller
"৭৪০ টাকায়, সেরা ব্লুটুথ স্পিকার।","price, product"
"খুব ভালো প্রোডাক্ট, আমি সন্তুষ্ট।",product
অনেক সুন্দর . ভালোই হয়েছে .,product
আজকে পেলাম।চার্জ নিচ্ছে না,product
"অসাধারণ একটা প্রডাক্ট। 

",product
খুব ভালো প্রোডাক্ট,product
ফালতু প্রোডাক্ট। ব্যাটারির মান ভালো না। চার্জ বেশিক্ষণ থাকে না। সাউন্ড খারাপ।,product
"অর্ডারের দিন ই কুরিয়ারে দিয়েছে, ৪ দিনে পেয়েছি। সব ঠিক ছিল ","delivery, product"
ব্যাটারি ব্যাকআপ খুব খারাপ বেশিক্ষণ অন থাকে না ও সাউন্ড খুব একটা বেশি না.....ঘড়ি হিসাবে ইউজ করছি....কিন্তু প্রোডাক্টে কোন ফাটা দাগ টাগ কিছুই ছিল না একবারে নতুন বক্স করে পাঠানো হয়েছে,"product, packaging"
"ঘড়ি সিস্টেম টা অনেক ভাল লাগছে কিন্তু 
অনলাইন  ভিডিও তে সাইন্ড লো। 



",product
"ধন্যবাদ, Trendy Buy। একদম অক্ষত প্রোডাক্ট পেয়েছি। ভবিষ্যতে আরও ভালো কিছু আশা রাখি। আবারও ধন্যবাদ 🙂🙋","seller, product"
"খুবই খুবই খুবই খারাপ অভিজ্ঞতা।
১ সপ্তাহও ব্যবহার করতে পারিনি, নষ্ট হয়ে গেছে।
😡😡😡😡😡
মানুষকে এমন ২ নম্বর প্রোডাক্ট না দিলেও পারতেন। এভাবে ব্যবসা করলে কতদিন আর টিকবেন।
😡😡😡","product, service"
দুই মাস ব্যবহার করলাম। ঘড়ির একটা সংখ্যা পুরা দেখায় না এখন আর।  সাউন্ড কোয়ালিটি একদম কম। এতো টাকা দিয়ে এটা কেনা একদম ইউজলেস। ফেলে রাখছি।,"product, price"
"প্রোডাক্টের মান ভালো। এক মাস ধরে ব্যবহার করছি। নির্দেশনাগুলো চীনা ভাষায় এবং বোঝা কঠিন। প্রথমে ব্লুটুথ মোড খুঁজে পাওয়া কঠিন ছিল। কখনও কখনও, অন্য ডিভাইসগুলোর সাথে সফলভাবে সংযোগ করার জন্য এটি বন্ধ করে আবার চালু করতে হয়।",product
"অস্থির জিনিস এই দামে। ছোট রুম সেটআপের জন্য একদম পারফেক্ট, বাইরের জন্য সাউন্ডটা একটু কম কিন্তু তবুও মূল্যবান কারণ সাউন্ড একদম ফাটে না।","product, price"
"প্রডাক্ট হাতে পেয়েছি সাউন্ড কোয়ালিটি ভালো অলমোস্ট পছন্দ হয়েছে, কিন্তু USB port না থাকায় পেনড্রাইভ ইউজ করতে পারছিনা, ফলে অপ্রয়োজনীয় বস্তুুতে পরিনত হবে, এখন করণীয় কি জানাবেন প্লিজ",product
খুবই ভালো একটা প্রডাক্ট। যে কেউ এটি কিনতে পারেন।যেমনটি চেয়েছিলাম ঠিক তেমনই পেয়েছি।সাউন্ড কোয়ালিটি ও খুব ভালো। দারাজ কে এবং সেলার অনেক ধন্যবাদ।,"product, seller"
ঢাকার বাহিরে থেকে এই প্রথম দারাজ থেকে ফাস্ট ডেলিভারি পেলাম। সেলার রেস্পন্স ও ফাস্ট৷ ধন্যবাদ সেলারকে ভালো প্রোডাক্ট টি দেওয়ার জন্য৷ 💗😍,"delivery, seller, product"
"বিক্রেতা অনেক ভালো ছিলেন, ব্যবহারও ভালো ছিল এবং প্রোডাক্টের মানও ভালো। কিন্তু সমস্যা হল ডেলিভারি সময়, ২০+ দিন লেগেছে। দারাজের ডেলিভারি টিম ঠিক করা উচিত।","seller, product, delivery"
প্রোডাক্টের দিক থেকে সুপারিশ করব না। ব্যাটারির জীবনকাল খুবই খারাপ। এমনকি ক্লিক এবং অক্স মোডে এটি মাত্র ১২/১৫ ঘণ্টা চলে। সাউন্ড কোয়ালিটিও খারাপ। আমার ল্যাপটপের স্পিকার এর চেয়ে বেশি জোরালো এবং পরিষ্কার। বিক্রেতা তৎপর ছিলেন এবং প্রোডাক্ট সময়মতো পেয়েছি।,"product, seller"
এত টাকার প্রডাক্ট এ একটি পুর্নাঙ্গ চার্জার দেয়া উচিত ছিল। সাউন্ড খারাপ না। মোটের উপর ভালো প্রডাক্ট।,"price, product"
"এই স্পিকার কিনে একটা দড়া খেয়েছি... দেখতেও ভালো, সবকিছু ঠিকঠাক কিন্তু গান বাজানোর সময় সাউন্ড আছে তো আছে না।
আমি ফেরত দিতে চেয়েছিলাম কিন্তু সেটাও নেয়নি...
টাকাগুলো আমার ফালতু গেল 🥵🥵🥵💔💔💔🥵🥵😭😭😭","product, service, price"
"আমি প্রোডাক্ট নিয়ে খুবই সন্তুষ্ট।

প্রোডাক্টের মান: ৯/১০ (যদি সাউন্ড একটু বেশি জোরালো হতো, তাহলে ১০ দিতাম)
ডিজাইন: ভালো
মূল্য: ১০/১০ (৮৫০ টাকা)
পরিষেবা: সন্তুষ্ট ৯/১০ (ওজন একটু বেশি)","product, service"
মাত্র ২ দিনের মধ্যে প্রোডাক্ট ডেলিভারি হয়েছে! অক্ষত অবস্থায় এবং খুব ভালোভাবে প্যাক করা ছিল। বিক্রেতাও খুব আন্তরিক ছিলেন। অত্যন্ত সুপারিশ করছি।,"delivery, packaging, seller"
"প্রথমত সেলার অনেক ভালো এবং সেলার এর রেস্পন্স অনেক ভালো ছিল।
প্রোডাক্ট রিভিউ: প্রোডাক্টের মান প্রিমিয়াম। ৩ দিন ব্যবহার করার পর ব্যাটারি ৮০% অবশিষ্ট। দীর্ঘস্থায়ী ব্যাটারি। প্রোডাক্ট অক্ষত এবং সুন্দরভাবে প্যাক করা ছিল।
এই মূল্য পয়েন্টে স্পিকার + ঘড়ি সত্যিই অবাক করার মতো। তবে এই মূল্যে স্পিকারে বেস পাবেন না, এতে নেই। AM/PM এবং তারিখ থাকলে খুব ভালো হতো। এই অভিযোগটি কোম্পানির প্রতি। সেলার ১০০+% সুপারিশ করা হচ্ছে।","seller, product, packaging, price"
"এটা দারাজে  আমার প্রথম অর্ডার।
 ২১/৪ অর্ডার করে ২৫/৪ ডেলিভারি পেয়েছি। 
প্রোডাকটা খুবই ভালো লেগেছে। 
ধন্যববাদ দারাজ।","product, delivery"
"বিক্রেতা এবং দারাজকে সময়মতো ডেলিভারি দেওয়ার জন্য ধন্যবাদ।
ডিভাইসটি এক সপ্তাহ ব্যবহারের পর ফিডব্যাক দিচ্ছি।
ডিভাইসের মান ঠিক আছে। আমি স্পিকারের জন্য অর্ডার করেছিলাম কিন্তু ডিফল্টভাবে একটি ঘড়ি এবং রেডিও পেয়েছি, যা আমার জন্য খুব ভালো।","seller, delivery, product"
যদিও দেরিতে পেয়েছি। তবে সে আক্ষেপ টা মালের কোয়ালিটির কারনে দূর হয়ে গেছে। এক কথায় অসাধারণ প্রোডাক্ট।,"delivery, product"
"প্রায় ১ বছর ধরে ব্যবহার করছি। সাউন্ড কোয়ালিটি এবং চার্জ ব্যাকআপ অসাধারণ। আপনি যদি একটি ভালো মানের সাউন্ড বক্স খুঁজে থাকেন, তবে এটি অত্যন্ত সুপারিশ করছি।",product
প্রোডাক্ট অরজিনালই মনে হয়েছে। প্রোডাক্টের লুকিং এবং সাউন্ড ভালোই এই দাম অনুসারে। এছাড়াও বিভিন্ন প্রয়োজনীয় ফাংশন পাওয়া যাবে। আশা করি নিতে পারেন। সেলার ভাই বেশ ফ্রেন্ডলি।,"product, price, seller"
"প্রাপ্ত আইটেমটি বিজ্ঞাপনের মতোই ছিল, সাউন্ড কোয়ালিটিও ভালো এবং এটি একটি আসল প্রোডাক্ট। বিক্রেতার কাছ থেকে চমৎকার সেবা পেয়েছি, অত্যন্ত সুপারিশ করবো।","product, seller"
কয়েকদিন ব্যবহার করার পর ডিসচার্জের সমস্যা পাওয়া গেছে। ব্লুটুথ/এফএম ব্যবহার না করে শুধুমাত্র ঘড়ি হিসেবে সময় দেখানোর জন্য ব্যবহার করলেও সম্পূর্ণ চার্জ করার পর ১২ ঘণ্টার মধ্যে স্বয়ংক্রিয়ভাবে বন্ধ হয়ে যায়।,product
"প্রোডাক্টটি ঠিকঠাক। বোতামগুলো মোটেও টেকসই মনে হয় না, কখনও কখনও চাপা কঠিন হয়। অনুমান করতে পারি যে এক বছরের মধ্যে কিছু বোতাম কাজ করবে না। তা ছাড়া, সাউন্ড কোয়ালিটি এবং আউটলুক সত্যিই চমৎকার।",product
"অক্ষত প্যাকেজ পেয়েছি।
প্রোডাক্টটি ঠিক আছে।
সব ফিচার সঠিকভাবে কাজ করছে এবং পরিচালনা করা খুব সহজ ও মসৃণ।
সর্বোচ্চ ভলিউম স্তর খুব জোরালো নয় তবে সাউন্ড কোয়ালিটি খুবই ভালো এবং এটি আমার রুমের জন্য পারফেক্ট।
আইটেমটি এবং এর কালো রঙ খুব সুন্দর।","packaging, product"
"ভাই মাশাআল্লাহ, অনেক ভালো স্পিকার। সাউন্ড যথেষ্ট লাউড এবং ক্লিয়ার, এক কথায় পারফেক্ট। ধন্যবাদ দারাজ।",product
"ধন্যবাদ, Trendy Buy। প্যাকেজিং থেকে ডেলিভারি পর্যন্ত সবকিছুই বেশ ভালো ছিল। ধন্যবাদ দারাজকেও।","seller, packaging, delivery"
ভাই জিনিস টা পাইছি।।।কিন্তু চালানোর আগে বাইক এর পিছন থেকে হারিয়ে গেছে...আফসোস,product
প্রোডাক্টটি বর্ণনার মতোই ভালো অবস্থায় পেয়েছি। ধন্যবাদ দারাজ এবং বিক্রেতা।,"product, seller"
"প্রোডাক্টটা আসলেই অনেক ভালো। সহজে বহন করা যায়, সাউন্ড সিস্টেমটাও ভালো।",product
"২ টি স্পিকারের মধ্যে একটি বাজে না, সাউন্ড কোয়ালিটি তেমন ভাল না। ",product
এটি সত্যিই সুন্দর। আমি খুবই খুশি। ধন্যবাদ বিক্রেতা ও দারাজ।,"product, seller"
"সাউণ্ড একেবারে কম,তাপমাত্রা ভূল দেখায়, সময় ২৪ ঘন্টা ফরমেট করা",product
গুণমান অত্যন্ত খারাপ। স্ক্রিন ইতিমধ্যে ম্লান হয়ে গেছে।,product
আসলেই অসাধারণ প্রোডাক্ট এবং দ্রুত ডেলিভারি। ধন্যবাদ বিক্রেতাকে।,"product, seller, delivery"
প্যাকেজিং ভালো ছিলো।  দাম অনুযায়ী প্রোডাক্ট যথেষ্ট ভালো।,"packaging  product, price"
"ভালো, কিন্তু শুধুমাত্র ২৪ ঘণ্টার ঘড়ি আছে, AM/PM সেটিংস পরিবর্তন করার উপায় নেই।",product
ভালো এবং অরিজিনাল প্রোডাক্ট। খুব দ্রুত পেয়েছি... ধন্যবাদ।,"product, delivery"
প্রচুর ভালো এবং সাউন্ড অনেক বেশি... আমি আরও একটা নিচ্ছি।,product
"২ দিন পর রিভিউ দিচ্ছি, অনেক ভালো একটা প্রোডাক্ট, ১০/১০।",product
এটি সত্যিই ভালো। ভালোভাবে কাজ করছে। শুভকামনা 🥰,product
"খুবিই ভালো প্রডাক্ট, সাউন্ড কোয়ালিটিও দুর্দান্ত।",product
"ভালো এবং খুবই চমৎকার প্রোডাক্ট, দ্রুত ডেলিভারির সাথে।","product, delivery"
"তত টা সাউন্ড না,, তবে চার্জ ব্যাকআপ অনেক ভালো ",product
"আলহামদুলিল্লাহ, ভালো প্রোডাক্ট কিন্তু সাউন্ড অনেক কম।",product
নষ্ট প্রোডাক্ট দিয়ে পাইছি।কোনো কাজ করেনা।,product
ভালো প্যাকেজিং সহ চমৎকার প্রোডাক্ট। ধন্যবাদ।,"product, packaging"
"অসাধারণ একটি প্রডাক্ট, ধন্যবাদ সেলারকে,,","product, seller"
যথেষ্ট ভাল কোনো চিন্তা ছাড়াই নেয়া যায়,product
"ভাই, খুবই সুন্দর ও ভালো একটি পণ্য।",product
সাউন্ড সিস্টেম চমৎকার। সামগ্রিকভাবে ভালো।,product
"ভালো পণ্য।
আমি সন্তুষ্ট।",product
সৎ মূল্যে চমৎকার পণ্য।,"product, price"
ভালো লেগেছে এবং দ্রুত ডেলিভারি।,"product, delivery"
প্রোডাক্টের মান অসাধারণ।,product
চমৎকার প্রোডাক্ট। ধন্যবাদ।,product
ভালো ছিলো প্রডাক্ট টা,product
অসাধারণ প্রোডাক্ট।,product
এটা অনেক ভালো।,product
মূল্যের জন্য উপযুক্ত।,price
"মারাত্মক জিনিষ।ধন্যবাদ সেলার কে।সেলার খুব ভালো মনের মানুষ সবাই কিনতে পারেন
","product, seller"
"সেরা মানের প্রোডাক্ট, ধন্যবাদ বিক্রেতাকে।

এত সুন্দর একটা প্রোডাক্ট দেওয়ার জন্য আমি পুরোপুরি সন্তুষ্ট, সাউন্ডটাও খুব ভালো এবং চার্জও অনেক সময় ধরে থাকে।

আপনার উজ্জ্বল ভবিষ্যতের জন্য শুভকামনা ❤️","product, seller"
"প্যাকেজিংটা দারুণ ছিল, আর বিক্রেতাও খুব ভালো। ৪ দিন সময় লাগল স্পিকারটা হাতে পেতে, আর স্পিকারটাও অসাধারণ... সাউন্ড কোয়ালিটি এবং বিল্ড কোয়ালিটি এই দামে অস্থির... ধন্যবাদ দারাজ।","packaging, seller, product"
